latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
39.03171,-122.12593,303.2,0.61,0.71,2016-07-22,0859,N,VIIRS,n,1,287.4,1.1,0
38.0727,-122.14379,304.5,0.61,0.71,2016-07-22,0900,N,VIIRS,n,1,292,1.4,2
38.02423,-122.06809,301.9,0.6,0.71,2016-07-22,0900,N,VIIRS,n,1,290.7,0.9,2
37.94887,-122.40221,299.5,0.63,0.72,2016-07-22,0900,N,VIIRS,n,1,288.9,1.7,2
34.31828,-118.51279,306.6,0.36,0.57,2016-07-22,0901,N,VIIRS,n,1,295.8,1,2
34.24148,-118.38123,302,0.35,0.57,2016-07-22,0901,N,VIIRS,n,1,291.3,0.2,2
34.09587,-117.52877,306.2,0.63,0.54,2016-07-22,0901,N,VIIRS,n,1,292.7,1.4,2
34.09086,-117.52948,309.2,0.63,0.54,2016-07-22,0901,N,VIIRS,n,1,293.8,1.4,2
34.09145,-117.52903,317.5,0.63,0.54,2016-07-22,0901,N,VIIRS,n,1,294.3,3.4,2
33.85304,-118.33288,314,0.35,0.56,2016-07-22,0901,N,VIIRS,n,1,296.9,1.7,2
33.82054,-118.24471,306.5,0.34,0.56,2016-07-22,0901,N,VIIRS,n,1,295.6,1.3,2
33.8148,-118.23776,305.1,0.34,0.56,2016-07-22,0901,N,VIIRS,n,1,295.1,1.4,2
33.82054,-118.24257,308,0.34,0.56,2016-07-22,0901,N,VIIRS,n,1,296.2,1.5,2
33.77741,-118.22835,311.2,0.34,0.56,2016-07-22,0901,N,VIIRS,n,1,294.1,1,2
39.03512,-122.11794,303.8,0.55,0.51,2016-07-22,1040,N,VIIRS,n,1,286.9,1.6,0
39.03061,-122.11985,309.2,0.55,0.51,2016-07-22,1040,N,VIIRS,n,1,286.1,1.6,0
39.03374,-122.11829,320.9,0.55,0.51,2016-07-22,1040,N,VIIRS,n,1,287.9,1.9,0
38.54248,-121.25946,316.4,0.62,0.54,2016-07-22,1040,N,VIIRS,n,1,284.7,2.5,0
38.07251,-122.13921,304.5,0.58,0.52,2016-07-22,1040,N,VIIRS,n,1,293.1,1.6,2
38.01481,-122.1125,305.5,0.58,0.52,2016-07-22,1040,N,VIIRS,n,1,291.8,2.2,2
38.01548,-122.11221,306,0.58,0.52,2016-07-22,1040,N,VIIRS,n,1,292.2,2.9,2
37.94249,-122.39311,298.5,0.56,0.52,2016-07-22,1040,N,VIIRS,n,1,288.3,1.3,2
37.36168,-120.94182,367,0.35,0.56,2016-07-22,1040,N,VIIRS,h,1,291,6.2,0
